,Provincias,Ramas de actividad,Magnitud,periodo,Total
53,24 León,TOTAL PERSONAS,Empleo total (miles de personas),2020,"164,0"
54,25 Lleida,TOTAL PERSONAS,Empleo total (miles de personas),2021,"207,9"
55,25 Lleida,TOTAL PERSONAS,Empleo total (miles de personas),2020,"203,8"
56,27 Lugo,TOTAL PERSONAS,Empleo total (miles de personas),2021,"128,2"
57,27 Lugo,TOTAL PERSONAS,Empleo total (miles de personas),2020,"126,7"
58,28 Madrid,TOTAL PERSONAS,Empleo total (miles de personas),2021,"3514,4"
59,28 Madrid,TOTAL PERSONAS,Empleo total (miles de personas),2020,"3417,0"
60,29 Málaga,TOTAL PERSONAS,Empleo total (miles de personas),2021,"615,8"
61,29 Málaga,TOTAL PERSONAS,Empleo total (miles de personas),2020,"589,9"
62,30 Murcia,TOTAL PERSONAS,Empleo total (miles de personas),2021,"620,8"
63,30 Murcia,TOTAL PERSONAS,Empleo total (miles de personas),2020,"604,1"
64,31 Navarra,TOTAL PERSONAS,Empleo total (miles de personas),2021,"302,7"
65,31 Navarra,TOTAL PERSONAS,Empleo total (miles de personas),2020,"299,9"
66,32 Ourense,TOTAL PERSONAS,Empleo total (miles de personas),2021,"110,8"
67,32 Ourense,TOTAL PERSONAS,Empleo total (miles de personas),2020,"107,9"
68,34 Palencia,TOTAL PERSONAS,Empleo total (miles de personas),2021,"65,7"
69,34 Palencia,TOTAL PERSONAS,Empleo total (miles de personas),2020,"65,5"
70,"35 Palmas, Las",TOTAL PERSONAS,Empleo total (miles de personas),2021,"422,2"
71,"35 Palmas, Las",TOTAL PERSONAS,Empleo total (miles de personas),2020,"410,6"
72,36 Pontevedra,TOTAL PERSONAS,Empleo total (miles de personas),2021,"371,7"
73,36 Pontevedra,TOTAL PERSONAS,Empleo total (miles de personas),2020,"366,9"
74,"26 Rioja, La",TOTAL PERSONAS,Empleo total (miles de personas),2021,"138,2"
75,"26 Rioja, La",TOTAL PERSONAS,Empleo total (miles de personas),2020,"136,4"
76,37 Salamanca,TOTAL PERSONAS,Empleo total (miles de personas),2021,"129,4"
77,37 Salamanca,TOTAL PERSONAS,Empleo total (miles de personas),2020,"127,1"
78,38 Santa Cruz de Tenerife,TOTAL PERSONAS,Empleo total (miles de personas),2021,"386,7"
79,38 Santa Cruz de Tenerife,TOTAL PERSONAS,Empleo total (miles de personas),2020,"381,7"
80,40 Segovia,TOTAL PERSONAS,Empleo total (miles de personas),2021,"64,5"
81,40 Segovia,TOTAL PERSONAS,Empleo total (miles de personas),2020,"62,5"
82,41 Sevilla,TOTAL PERSONAS,Empleo total (miles de personas),2021,"726,8"
83,41 Sevilla,TOTAL PERSONAS,Empleo total (miles de personas),2020,"702,3"
84,42 Soria,TOTAL PERSONAS,Empleo total (miles de personas),2021,"41,0"
85,42 Soria,TOTAL PERSONAS,Empleo total (miles de personas),2020,"40,4"
86,43 Tarragona,TOTAL PERSONAS,Empleo total (miles de personas),2021,"324,9"
87,43 Tarragona,TOTAL PERSONAS,Empleo total (miles de personas),2020,"318,6"
88,44 Teruel,TOTAL PERSONAS,Empleo total (miles de personas),2021,"56,7"
89,44 Teruel,TOTAL PERSONAS,Empleo total (miles de personas),2020,"56,7"
90,45 Toledo,TOTAL PERSONAS,Empleo total (miles de personas),2021,"234,5"
91,45 Toledo,TOTAL PERSONAS,Empleo total (miles de personas),2020,"224,8"
92,46 Valencia/València,TOTAL PERSONAS,Empleo total (miles de personas),2021,"1038,1"
93,46 Valencia/València,TOTAL PERSONAS,Empleo total (miles de personas),2020,"1014,6"
94,47 Valladolid,TOTAL PERSONAS,Empleo total (miles de personas),2021,"235,0"
95,47 Valladolid,TOTAL PERSONAS,Empleo total (miles de personas),2020,"232,4"
96,49 Zamora,TOTAL PERSONAS,Empleo total (miles de personas),2021,"60,6"
97,49 Zamora,TOTAL PERSONAS,Empleo total (miles de personas),2020,"59,4"
98,50 Zaragoza,TOTAL PERSONAS,Empleo total (miles de personas),2021,"444,9"
99,50 Zaragoza,TOTAL PERSONAS,Empleo total (miles de personas),2020,"440,5"
100,51 Ceuta,TOTAL PERSONAS,Empleo total (miles de personas),2021,"31,7"
101,51 Ceuta,TOTAL PERSONAS,Empleo total (miles de personas),2020,"30,9"
102,52 Melilla,TOTAL PERSONAS,Empleo total (miles de personas),2021,"31,0"
103,52 Melilla,TOTAL PERSONAS,Empleo total (miles de personas),2020,"30,1"
104,02 Albacete,TOTAL PERSONAS,Empleo total (miles de personas),2021,"150,2"
105,02 Albacete,TOTAL PERSONAS,Empleo total (miles de personas),2019,"151,9"
106,03 Alicante/Alacant,TOTAL PERSONAS,Empleo total (miles de personas),2021,"686,9"
107,03 Alicante/Alacant,TOTAL PERSONAS,Empleo total (miles de personas),2019,"690,1"
108,04 Almería,TOTAL PERSONAS,Empleo total (miles de personas),2021,"287,3"
109,04 Almería,TOTAL PERSONAS,Empleo total (miles de personas),2019,"285,7"
110,01 Araba/Álava,TOTAL PERSONAS,Empleo total (miles de personas),2021,"161,9"
111,01 Araba/Álava,TOTAL PERSONAS,Empleo total (miles de personas),2019,"166,8"
112,33 Asturias,TOTAL PERSONAS,Empleo total (miles de personas),2021,"387,0"
113,33 Asturias,TOTAL PERSONAS,Empleo total (miles de personas),2019,"399,6"
114,05 Ávila,TOTAL PERSONAS,Empleo total (miles de personas),2021,"59,2"
115,05 Ávila,TOTAL PERSONAS,Empleo total (miles de personas),2019,"58,9"
116,06 Badajoz,TOTAL PERSONAS,Empleo total (miles de personas),2021,"240,1"
117,06 Badajoz,TOTAL PERSONAS,Empleo total (miles de personas),2019,"244,1"
118,"07 Balears, Illes",TOTAL PERSONAS,Empleo total (miles de personas),2021,"493,1"
119,"07 Balears, Illes",TOTAL PERSONAS,Empleo total (miles de personas),2019,"536,4"
120,08 Barcelona,TOTAL PERSONAS,Empleo total (miles de personas),2021,"2695,2"
121,08 Barcelona,TOTAL PERSONAS,Empleo total (miles de personas),2019,"2751,4"
122,48 Bizkaia,TOTAL PERSONAS,Empleo total (miles de personas),2021,"511,6"
123,48 Bizkaia,TOTAL PERSONAS,Empleo total (miles de personas),2019,"530,1"
124,09 Burgos,TOTAL PERSONAS,Empleo total (miles de personas),2021,"159,9"
125,09 Burgos,TOTAL PERSONAS,Empleo total (miles de personas),2019,"163,4"
126,10 Cáceres,TOTAL PERSONAS,Empleo total (miles de personas),2021,"139,2"
127,10 Cáceres,TOTAL PERSONAS,Empleo total (miles de personas),2019,"141,5"
128,11 Cádiz,TOTAL PERSONAS,Empleo total (miles de personas),2021,"405,2"
129,11 Cádiz,TOTAL PERSONAS,Empleo total (miles de personas),2019,"412,2"
130,39 Cantabria,TOTAL PERSONAS,Empleo total (miles de personas),2021,"227,2"
131,39 Cantabria,TOTAL PERSONAS,Empleo total (miles de personas),2019,"232,4"
132,12 Castellón/Castelló,TOTAL PERSONAS,Empleo total (miles de personas),2021,"250,7"
133,12 Castellón/Castelló,TOTAL PERSONAS,Empleo total (miles de personas),2019,"255,4"
134,13 Ciudad Real,TOTAL PERSONAS,Empleo total (miles de personas),2021,"184,9"
135,13 Ciudad Real,TOTAL PERSONAS,Empleo total (miles de personas),2019,"184,3"
136,14 Córdoba,TOTAL PERSONAS,Empleo total (miles de personas),2021,"275,8"
137,14 Córdoba,TOTAL PERSONAS,Empleo total (miles de personas),2019,"283,0"
138,"15 Coruña, A",TOTAL PERSONAS,Empleo total (miles de personas),2021,"457,4"
139,"15 Coruña, A",TOTAL PERSONAS,Empleo total (miles de personas),2019,"468,8"
140,16 Cuenca,TOTAL PERSONAS,Empleo total (miles de personas),2021,"80,8"
141,16 Cuenca,TOTAL PERSONAS,Empleo total (miles de personas),2019,"76,3"
142,20 Gipuzkoa,TOTAL PERSONAS,Empleo total (miles de personas),2021,"351,2"
143,20 Gipuzkoa,TOTAL PERSONAS,Empleo total (miles de personas),2019,"357,6"
144,17 Girona,TOTAL PERSONAS,Empleo total (miles de personas),2021,"334,4"
145,17 Girona,TOTAL PERSONAS,Empleo total (miles de personas),2019,"338,2"
146,18 Granada,TOTAL PERSONAS,Empleo total (miles de personas),2021,"322,3"
147,18 Granada,TOTAL PERSONAS,Empleo total (miles de personas),2019,"330,4"
148,19 Guadalajara,TOTAL PERSONAS,Empleo total (miles de personas),2021,"88,8"
149,19 Guadalajara,TOTAL PERSONAS,Empleo total (miles de personas),2019,"89,3"
150,21 Huelva,TOTAL PERSONAS,Empleo total (miles de personas),2021,"180,6"
151,21 Huelva,TOTAL PERSONAS,Empleo total (miles de personas),2019,"185,9"
152,22 Huesca,TOTAL PERSONAS,Empleo total (miles de personas),2021,"100,6"
153,22 Huesca,TOTAL PERSONAS,Empleo total (miles de personas),2019,"101,8"
154,23 Jaén,TOTAL PERSONAS,Empleo total (miles de personas),2021,"212,1"
155,23 Jaén,TOTAL PERSONAS,Empleo total (miles de personas),2019,"214,9"
156,24 León,TOTAL PERSONAS,Empleo total (miles de personas),2021,"168,3"
157,24 León,TOTAL PERSONAS,Empleo total (miles de personas),2019,"170,0"
158,25 Lleida,TOTAL PERSONAS,Empleo total (miles de personas),2021,"207,9"
159,25 Lleida,TOTAL PERSONAS,Empleo total (miles de personas),2019,"204,3"
160,27 Lugo,TOTAL PERSONAS,Empleo total (miles de personas),2021,"128,2"
161,27 Lugo,TOTAL PERSONAS,Empleo total (miles de personas),2019,"133,3"
162,28 Madrid,TOTAL PERSONAS,Empleo total (miles de personas),2021,"3514,4"
163,28 Madrid,TOTAL PERSONAS,Empleo total (miles de personas),2019,"3531,6"
164,29 Málaga,TOTAL PERSONAS,Empleo total (miles de personas),2021,"615,8"
165,29 Málaga,TOTAL PERSONAS,Empleo total (miles de personas),2019,"627,9"
166,30 Murcia,TOTAL PERSONAS,Empleo total (miles de personas),2021,"620,8"
167,30 Murcia,TOTAL PERSONAS,Empleo total (miles de personas),2019,"630,2"
168,31 Navarra,TOTAL PERSONAS,Empleo total (miles de personas),2021,"302,7"
169,31 Navarra,TOTAL PERSONAS,Empleo total (miles de personas),2019,"315,5"
170,32 Ourense,TOTAL PERSONAS,Empleo total (miles de personas),2021,"110,8"
171,32 Ourense,TOTAL PERSONAS,Empleo total (miles de personas),2019,"113,5"
172,34 Palencia,TOTAL PERSONAS,Empleo total (miles de personas),2021,"65,7"
173,34 Palencia,TOTAL PERSONAS,Empleo total (miles de personas),2019,"69,2"
174,"35 Palmas, Las",TOTAL PERSONAS,Empleo total (miles de personas),2021,"422,2"
175,"35 Palmas, Las",TOTAL PERSONAS,Empleo total (miles de personas),2019,"440,5"
176,36 Pontevedra,TOTAL PERSONAS,Empleo total (miles de personas),2021,"371,7"
177,36 Pontevedra,TOTAL PERSONAS,Empleo total (miles de personas),2019,"383,3"
178,"26 Rioja, La",TOTAL PERSONAS,Empleo total (miles de personas),2021,"138,2"
179,"26 Rioja, La",TOTAL PERSONAS,Empleo total (miles de personas),2019,"140,6"
180,37 Salamanca,TOTAL PERSONAS,Empleo total (miles de personas),2021,"129,4"
181,37 Salamanca,TOTAL PERSONAS,Empleo total (miles de personas),2019,"133,0"
182,38 Santa Cruz de Tenerife,TOTAL PERSONAS,Empleo total (miles de personas),2021,"386,7"
183,38 Santa Cruz de Tenerife,TOTAL PERSONAS,Empleo total (miles de personas),2019,"416,7"
184,40 Segovia,TOTAL PERSONAS,Empleo total (miles de personas),2021,"64,5"
185,40 Segovia,TOTAL PERSONAS,Empleo total (miles de personas),2019,"65,3"
186,41 Sevilla,TOTAL PERSONAS,Empleo total (miles de personas),2021,"726,8"
187,41 Sevilla,TOTAL PERSONAS,Empleo total (miles de personas),2019,"736,4"
188,42 Soria,TOTAL PERSONAS,Empleo total (miles de personas),2021,"41,0"
189,42 Soria,TOTAL PERSONAS,Empleo total (miles de personas),2019,"41,4"
190,43 Tarragona,TOTAL PERSONAS,Empleo total (miles de personas),2021,"324,9"
191,43 Tarragona,TOTAL PERSONAS,Empleo total (miles de personas),2019,"337,7"
192,44 Teruel,TOTAL PERSONAS,Empleo total (miles de personas),2021,"56,7"
193,44 Teruel,TOTAL PERSONAS,Empleo total (miles de personas),2019,"57,3"
194,45 Toledo,TOTAL PERSONAS,Empleo total (miles de personas),2021,"234,5"
195,45 Toledo,TOTAL PERSONAS,Empleo total (miles de personas),2019,"237,1"
196,46 Valencia/València,TOTAL PERSONAS,Empleo total (miles de personas),2021,"1038,1"
197,46 Valencia/València,TOTAL PERSONAS,Empleo total (miles de personas),2019,"1056,2"
198,47 Valladolid,TOTAL PERSONAS,Empleo total (miles de personas),2021,"235,0"
199,47 Valladolid,TOTAL PERSONAS,Empleo total (miles de personas),2019,"244,9"
200,49 Zamora,TOTAL PERSONAS,Empleo total (miles de personas),2021,"60,6"
201,49 Zamora,TOTAL PERSONAS,Empleo total (miles de personas),2019,"62,6"
202,50 Zaragoza,TOTAL PERSONAS,Empleo total (miles de personas),2021,"444,9"
203,50 Zaragoza,TOTAL PERSONAS,Empleo total (miles de personas),2019,"460,2"
204,51 Ceuta,TOTAL PERSONAS,Empleo total (miles de personas),2021,"31,7"
205,51 Ceuta,TOTAL PERSONAS,Empleo total (miles de personas),2019,"31,5"
206,52 Melilla,TOTAL PERSONAS,Empleo total (miles de personas),2021,"31,0"
207,52 Melilla,TOTAL PERSONAS,Empleo total (miles de personas),2019,"30,4"
208,02 Albacete,TOTAL PERSONAS,Empleo total (miles de personas),2021,"150,2"
209,02 Albacete,TOTAL PERSONAS,Empleo total (miles de personas),2018,"148,3"
210,03 Alicante/Alacant,TOTAL PERSONAS,Empleo total (miles de personas),2021,"686,9"
211,03 Alicante/Alacant,TOTAL PERSONAS,Empleo total (miles de personas),2018,"670,4"
212,04 Almería,TOTAL PERSONAS,Empleo total (miles de personas),2021,"287,3"
213,04 Almería,TOTAL PERSONAS,Empleo total (miles de personas),2018,"280,8"
214,01 Araba/Álava,TOTAL PERSONAS,Empleo total (miles de personas),2021,"161,9"
215,01 Araba/Álava,TOTAL PERSONAS,Empleo total (miles de personas),2018,"161,9"
216,33 Asturias,TOTAL PERSONAS,Empleo total (miles de personas),2021,"387,0"
217,33 Asturias,TOTAL PERSONAS,Empleo total (miles de personas),2018,"394,4"
218,05 Ávila,TOTAL PERSONAS,Empleo total (miles de personas),2021,"59,2"
219,05 Ávila,TOTAL PERSONAS,Empleo total (miles de personas),2018,"56,5"
220,06 Badajoz,TOTAL PERSONAS,Empleo total (miles de personas),2021,"240,1"
221,06 Badajoz,TOTAL PERSONAS,Empleo total (miles de personas),2018,"238,9"
222,"07 Balears, Illes",TOTAL PERSONAS,Empleo total (miles de personas),2021,"493,1"
223,"07 Balears, Illes",TOTAL PERSONAS,Empleo total (miles de personas),2018,"513,6"
224,08 Barcelona,TOTAL PERSONAS,Empleo total (miles de personas),2021,"2695,2"
225,08 Barcelona,TOTAL PERSONAS,Empleo total (miles de personas),2018,"2676,9"
226,48 Bizkaia,TOTAL PERSONAS,Empleo total (miles de personas),2021,"511,6"
227,48 Bizkaia,TOTAL PERSONAS,Empleo total (miles de personas),2018,"522,8"
228,09 Burgos,TOTAL PERSONAS,Empleo total (miles de personas),2021,"159,9"
229,09 Burgos,TOTAL PERSONAS,Empleo total (miles de personas),2018,"160,2"
230,10 Cáceres,TOTAL PERSONAS,Empleo total (miles de personas),2021,"139,2"
231,10 Cáceres,TOTAL PERSONAS,Empleo total (miles de personas),2018,"138,3"
232,11 Cádiz,TOTAL PERSONAS,Empleo total (miles de personas),2021,"405,2"
233,11 Cádiz,TOTAL PERSONAS,Empleo total (miles de personas),2018,"393,7"
234,39 Cantabria,TOTAL PERSONAS,Empleo total (miles de personas),2021,"227,2"
235,39 Cantabria,TOTAL PERSONAS,Empleo total (miles de personas),2018,"227,7"
236,12 Castellón/Castelló,TOTAL PERSONAS,Empleo total (miles de personas),2021,"250,7"
237,12 Castellón/Castelló,TOTAL PERSONAS,Empleo total (miles de personas),2018,"247,3"
238,13 Ciudad Real,TOTAL PERSONAS,Empleo total (miles de personas),2021,"184,9"
239,13 Ciudad Real,TOTAL PERSONAS,Empleo total (miles de personas),2018,"183,7"
240,14 Córdoba,TOTAL PERSONAS,Empleo total (miles de personas),2021,"275,8"
241,14 Córdoba,TOTAL PERSONAS,Empleo total (miles de personas),2018,"281,7"
242,"15 Coruña, A",TOTAL PERSONAS,Empleo total (miles de personas),2021,"457,4"
243,"15 Coruña, A",TOTAL PERSONAS,Empleo total (miles de personas),2018,"459,4"
244,16 Cuenca,TOTAL PERSONAS,Empleo total (miles de personas),2021,"80,8"
245,16 Cuenca,TOTAL PERSONAS,Empleo total (miles de personas),2018,"78,5"
246,20 Gipuzkoa,TOTAL PERSONAS,Empleo total (miles de personas),2021,"351,2"
247,20 Gipuzkoa,TOTAL PERSONAS,Empleo total (miles de personas),2018,"352,3"
248,17 Girona,TOTAL PERSONAS,Empleo total (miles de personas),2021,"334,4"
249,17 Girona,TOTAL PERSONAS,Empleo total (miles de personas),2018,"332,0"
250,18 Granada,TOTAL PERSONAS,Empleo total (miles de personas),2021,"322,3"
251,18 Granada,TOTAL PERSONAS,Empleo total (miles de personas),2018,"322,2"
252,19 Guadalajara,TOTAL PERSONAS,Empleo total (miles de personas),2021,"88,8"
253,19 Guadalajara,TOTAL PERSONAS,Empleo total (miles de personas),2018,"86,7"
254,21 Huelva,TOTAL PERSONAS,Empleo total (miles de personas),2021,"180,6"
255,21 Huelva,TOTAL PERSONAS,Empleo total (miles de personas),2018,"183,9"
256,22 Huesca,TOTAL PERSONAS,Empleo total (miles de personas),2021,"100,6"
257,22 Huesca,TOTAL PERSONAS,Empleo total (miles de personas),2018,"99,3"
258,23 Jaén,TOTAL PERSONAS,Empleo total (miles de personas),2021,"212,1"
259,23 Jaén,TOTAL PERSONAS,Empleo total (miles de personas),2018,"216,2"
260,24 León,TOTAL PERSONAS,Empleo total (miles de personas),2021,"168,3"
261,24 León,TOTAL PERSONAS,Empleo total (miles de personas),2018,"171,9"
262,25 Lleida,TOTAL PERSONAS,Empleo total (miles de personas),2021,"207,9"
263,25 Lleida,TOTAL PERSONAS,Empleo total (miles de personas),2018,"197,4"
264,27 Lugo,TOTAL PERSONAS,Empleo total (miles de personas),2021,"128,2"
265,27 Lugo,TOTAL PERSONAS,Empleo total (miles de personas),2018,"132,1"
266,28 Madrid,TOTAL PERSONAS,Empleo total (miles de personas),2021,"3514,4"
267,28 Madrid,TOTAL PERSONAS,Empleo total (miles de personas),2018,"3427,4"
268,29 Málaga,TOTAL PERSONAS,Empleo total (miles de personas),2021,"615,8"
269,29 Málaga,TOTAL PERSONAS,Empleo total (miles de personas),2018,"610,7"
270,30 Murcia,TOTAL PERSONAS,Empleo total (miles de personas),2021,"620,8"
271,30 Murcia,TOTAL PERSONAS,Empleo total (miles de personas),2018,"613,8"
272,31 Navarra,TOTAL PERSONAS,Empleo total (miles de personas),2021,"302,7"
273,31 Navarra,TOTAL PERSONAS,Empleo total (miles de personas),2018,"306,1"
274,32 Ourense,TOTAL PERSONAS,Empleo total (miles de personas),2021,"110,8"
275,32 Ourense,TOTAL PERSONAS,Empleo total (miles de personas),2018,"110,5"
276,34 Palencia,TOTAL PERSONAS,Empleo total (miles de personas),2021,"65,7"
277,34 Palencia,TOTAL PERSONAS,Empleo total (miles de personas),2018,"68,2"
278,"35 Palmas, Las",TOTAL PERSONAS,Empleo total (miles de personas),2021,"422,2"
279,"35 Palmas, Las",TOTAL PERSONAS,Empleo total (miles de personas),2018,"427,7"
280,36 Pontevedra,TOTAL PERSONAS,Empleo total (miles de personas),2021,"371,7"
281,36 Pontevedra,TOTAL PERSONAS,Empleo total (miles de personas),2018,"372,4"
282,"26 Rioja, La",TOTAL PERSONAS,Empleo total (miles de personas),2021,"138,2"
283,"26 Rioja, La",TOTAL PERSONAS,Empleo total (miles de personas),2018,"137,6"
284,37 Salamanca,TOTAL PERSONAS,Empleo total (miles de personas),2021,"129,4"
285,37 Salamanca,TOTAL PERSONAS,Empleo total (miles de personas),2018,"131,1"
286,38 Santa Cruz de Tenerife,TOTAL PERSONAS,Empleo total (miles de personas),2021,"386,7"
287,38 Santa Cruz de Tenerife,TOTAL PERSONAS,Empleo total (miles de personas),2018,"398,5"
288,40 Segovia,TOTAL PERSONAS,Empleo total (miles de personas),2021,"64,5"
289,40 Segovia,TOTAL PERSONAS,Empleo total (miles de personas),2018,"63,2"
290,41 Sevilla,TOTAL PERSONAS,Empleo total (miles de personas),2021,"726,8"
291,41 Sevilla,TOTAL PERSONAS,Empleo total (miles de personas),2018,"708,7"
292,42 Soria,TOTAL PERSONAS,Empleo total (miles de personas),2021,"41,0"
293,42 Soria,TOTAL PERSONAS,Empleo total (miles de personas),2018,"41,4"
294,43 Tarragona,TOTAL PERSONAS,Empleo total (miles de personas),2021,"324,9"
295,43 Tarragona,TOTAL PERSONAS,Empleo total (miles de personas),2018,"333,4"
296,44 Teruel,TOTAL PERSONAS,Empleo total (miles de personas),2021,"56,7"
297,44 Teruel,TOTAL PERSONAS,Empleo total (miles de personas),2018,"56,1"
298,45 Toledo,TOTAL PERSONAS,Empleo total (miles de personas),2021,"234,5"
299,45 Toledo,TOTAL PERSONAS,Empleo total (miles de personas),2018,"229,6"
300,46 Valencia/València,TOTAL PERSONAS,Empleo total (miles de personas),2021,"1038,1"
301,46 Valencia/València,TOTAL PERSONAS,Empleo total (miles de personas),2018,"1023,0"
302,47 Valladolid,TOTAL PERSONAS,Empleo total (miles de personas),2021,"235,0"
303,47 Valladolid,TOTAL PERSONAS,Empleo total (miles de personas),2018,"239,4"
304,49 Zamora,TOTAL PERSONAS,Empleo total (miles de personas),2021,"60,6"
305,49 Zamora,TOTAL PERSONAS,Empleo total (miles de personas),2018,"61,1"
306,50 Zaragoza,TOTAL PERSONAS,Empleo total (miles de personas),2021,"444,9"
307,50 Zaragoza,TOTAL PERSONAS,Empleo total (miles de personas),2018,"447,8"
308,51 Ceuta,TOTAL PERSONAS,Empleo total (miles de personas),2021,"31,7"
309,51 Ceuta,TOTAL PERSONAS,Empleo total (miles de personas),2018,"31,2"
310,52 Melilla,TOTAL PERSONAS,Empleo total (miles de personas),2021,"31,0"
311,52 Melilla,TOTAL PERSONAS,Empleo total (miles de personas),2018,"29,8"
