,Provincias,Ramas de actividad,Magnitud,periodo,Total
53,24 León,TOTAL PERSONAS,Empleo total (miles de personas),2020,"164,0"
54,25 Lleida,TOTAL PERSONAS,Empleo total (miles de personas),2021,"207,9"
55,25 Lleida,TOTAL PERSONAS,Empleo total (miles de personas),2020,"203,8"
56,27 Lugo,TOTAL PERSONAS,Empleo total (miles de personas),2021,"128,2"
57,27 Lugo,TOTAL PERSONAS,Empleo total (miles de personas),2020,"126,7"
58,28 Madrid,TOTAL PERSONAS,Empleo total (miles de personas),2021,"3514,4"
59,28 Madrid,TOTAL PERSONAS,Empleo total (miles de personas),2020,"3417,0"
60,29 Málaga,TOTAL PERSONAS,Empleo total (miles de personas),2021,"615,8"
61,29 Málaga,TOTAL PERSONAS,Empleo total (miles de personas),2020,"589,9"
62,30 Murcia,TOTAL PERSONAS,Empleo total (miles de personas),2021,"620,8"
63,30 Murcia,TOTAL PERSONAS,Empleo total (miles de personas),2020,"604,1"
64,31 Navarra,TOTAL PERSONAS,Empleo total (miles de personas),2021,"302,7"
65,31 Navarra,TOTAL PERSONAS,Empleo total (miles de personas),2020,"299,9"
66,32 Ourense,TOTAL PERSONAS,Empleo total (miles de personas),2021,"110,8"
67,32 Ourense,TOTAL PERSONAS,Empleo total (miles de personas),2020,"107,9"
68,34 Palencia,TOTAL PERSONAS,Empleo total (miles de personas),2021,"65,7"
69,34 Palencia,TOTAL PERSONAS,Empleo total (miles de personas),2020,"65,5"
70,"35 Palmas, Las",TOTAL PERSONAS,Empleo total (miles de personas),2021,"422,2"
71,"35 Palmas, Las",TOTAL PERSONAS,Empleo total (miles de personas),2020,"410,6"
72,36 Pontevedra,TOTAL PERSONAS,Empleo total (miles de personas),2021,"371,7"
73,36 Pontevedra,TOTAL PERSONAS,Empleo total (miles de personas),2020,"366,9"
74,"26 Rioja, La",TOTAL PERSONAS,Empleo total (miles de personas),2021,"138,2"
75,"26 Rioja, La",TOTAL PERSONAS,Empleo total (miles de personas),2020,"136,4"
76,37 Salamanca,TOTAL PERSONAS,Empleo total (miles de personas),2021,"129,4"
77,37 Salamanca,TOTAL PERSONAS,Empleo total (miles de personas),2020,"127,1"
78,38 Santa Cruz de Tenerife,TOTAL PERSONAS,Empleo total (miles de personas),2021,"386,7"
79,38 Santa Cruz de Tenerife,TOTAL PERSONAS,Empleo total (miles de personas),2020,"381,7"
80,40 Segovia,TOTAL PERSONAS,Empleo total (miles de personas),2021,"64,5"
81,40 Segovia,TOTAL PERSONAS,Empleo total (miles de personas),2020,"62,5"
82,41 Sevilla,TOTAL PERSONAS,Empleo total (miles de personas),2021,"726,8"
83,41 Sevilla,TOTAL PERSONAS,Empleo total (miles de personas),2020,"702,3"
84,42 Soria,TOTAL PERSONAS,Empleo total (miles de personas),2021,"41,0"
85,42 Soria,TOTAL PERSONAS,Empleo total (miles de personas),2020,"40,4"
86,43 Tarragona,TOTAL PERSONAS,Empleo total (miles de personas),2021,"324,9"
87,43 Tarragona,TOTAL PERSONAS,Empleo total (miles de personas),2020,"318,6"
88,44 Teruel,TOTAL PERSONAS,Empleo total (miles de personas),2021,"56,7"
89,44 Teruel,TOTAL PERSONAS,Empleo total (miles de personas),2020,"56,7"
90,45 Toledo,TOTAL PERSONAS,Empleo total (miles de personas),2021,"234,5"
91,45 Toledo,TOTAL PERSONAS,Empleo total (miles de personas),2020,"224,8"
92,46 Valencia/València,TOTAL PERSONAS,Empleo total (miles de personas),2021,"1038,1"
93,46 Valencia/València,TOTAL PERSONAS,Empleo total (miles de personas),2020,"1014,6"
94,47 Valladolid,TOTAL PERSONAS,Empleo total (miles de personas),2021,"235,0"
95,47 Valladolid,TOTAL PERSONAS,Empleo total (miles de personas),2020,"232,4"
96,49 Zamora,TOTAL PERSONAS,Empleo total (miles de personas),2021,"60,6"
97,49 Zamora,TOTAL PERSONAS,Empleo total (miles de personas),2020,"59,4"
98,50 Zaragoza,TOTAL PERSONAS,Empleo total (miles de personas),2021,"444,9"
99,50 Zaragoza,TOTAL PERSONAS,Empleo total (miles de personas),2020,"440,5"
100,51 Ceuta,TOTAL PERSONAS,Empleo total (miles de personas),2021,"31,7"
101,51 Ceuta,TOTAL PERSONAS,Empleo total (miles de personas),2020,"30,9"
102,52 Melilla,TOTAL PERSONAS,Empleo total (miles de personas),2021,"31,0"
103,52 Melilla,TOTAL PERSONAS,Empleo total (miles de personas),2020,"30,1"
